id,entryDecisionBar,entryExecutionBar,entrySession,entryTime,entryPrice,quantity,entryNotional,entryFee,entryEquityBefore,exitDecisionBar,exitExecutionBar,exitSession,exitTime,exitPrice,exitNotional,exitFee,totalFees,grossPnl,netPnl,returnOnEntryEquity,holdingBars,holdingSessions,exitReason,equityAfterExit
T1,399,400,1,2006-09-26 open,1326.3499755859375,75.31956251287852,99900.09990009991,99.90009990009992,100000.0,692,693,294,2007-11-26 open,1440.739990234375,108515.905759262,108.515905759262,208.41600565936193,8615.805859162077,8407.389853502715,0.08407389853502714,293,293.0,signal,108407.38985350273
T2,702,703,304,2007-12-10 open,1505.1099853515625,71.9542703302467,108299.09076273999,108.29909076274,108407.38985350273,709,710,311,2007-12-19 open,1454.699951171875,104671.87353601777,104.67187353601777,212.97096429875776,-3627.2172267222104,-3840.188191020968,-0.03542367541742717,7,7.0,signal,104567.20166248175
T3,713,714,315,2007-12-26 open,1495.1199951171875,69.8691337583044,104462.7389235582,104.46273892355819,104567.20166248175,718,719,320,2008-01-03 open,1447.550048828125,101139.06798341233,101.13906798341233,205.60180690697052,-3323.670940145864,-3529.2727470528343,-0.033751240264079115,5,5.0,signal,101037.92891542891
T4,1113,1114,715,2009-07-29 open,977.6599731445312,103.2434534461436,100936.99192350543,100.93699192350543,101037.92891542891,1330,1331,932,2010-06-09 open,1062.75,109721.98014988912,109.72198014988912,210.65897207339455,8784.988226383697,8574.329254310303,0.08486248032149606,217,217.0,signal,109612.25816973923
T5,1338,1339,940,2010-06-21 open,1122.7900390625,97.52736629704768,109502.75541432491,109.50275541432492,109612.25816973923,1342,1343,944,2010-06-25 open,1075.0999755859375,104851.66912491675,104.85166912491675,214.35442453924168,-4651.086289408166,-4865.440713947408,-0.04438774271407735,4,4.0,signal,104746.81745579184
T6,1369,1370,971,2010-08-04 open,1121.06005859375,93.34216706620853,104642.17528051134,104.64217528051134,104746.81745579184,1382,1383,984,2010-08-23 open,1073.3599853515625,100189.74707486869,100.18974707486869,204.83192235538002,-4452.428205642649,-4657.26012799803,-0.044462068071553736,13,13.0,signal,100089.55732779382
T7,1399,1400,1001,2010-09-16 open,1123.8900146484375,88.9673957921153,99989.5677600338,99.9895677600338,100089.55732779382,1625,1626,1227,2011-08-09 open,1120.22998046875,99663.94405055686,99.66394405055686,199.65351181059066,-325.62370947692784,-525.2772212875185,-0.005248072179670381,226,226.0,signal,99564.28010650631
T8,1690,1691,1292,2011-11-09 open,1275.1800537109375,78.00060470030074,99464.8152912151,99.4648152912151,99564.28010650631,1699,1700,1301,2011-11-22 open,1192.97998046875,93053.15987191547,93.05315987191547,192.5179751631306,-6411.6554192996355,-6604.173394462766,-0.06633075021883474,9,9.0,signal,92960.10671204356
T9,1722,1723,1324,2011-12-27 open,1265.02001953125,73.41167573536323,92867.23947257099,92.86723947257099,92960.10671204356,2642,2643,2244,2015-08-25 open,1898.0799560546875,139341.2302536792,139.3412302536792,232.2084697262502,46473.99078110822,46241.78231138197,0.4974368462659161,920,920.0,signal,139201.88902342552
T10,2689,2690,2291,2015-10-30 open,2090.0,66.53723741494177,139062.8261972283,139.0628261972283,139201.88902342552,2735,2736,2337,2016-01-07 open,1985.3199462890625,132097.7046108548,132.0977046108548,271.1605308080831,-6965.121586373505,-7236.282117181588,-0.05198407987095515,46,46.0,signal,131965.60690624395
T11,2788,2789,2390,2016-03-24 open,2032.47998046875,64.86350389670558,131833.77313311084,131.83377313311084,131965.60690624395,3446,3447,3048,2018-11-01 open,2717.580078125,176271.7659870704,176.2717659870704,308.1055391201812,44437.99285395954,44129.88731483936,0.33440445847524347,658,658.0,signal,176095.49422108333
