day,close
1,100.00
2,101.44
3,102.72
4,103.71
5,104.35
6,104.64
7,104.67
8,104.55
9,104.45
10,104.51
11,104.80
12,105.36
13,106.15
14,107.04
15,107.90
16,108.56
17,108.89
18,108.84
19,108.38
20,107.62
21,106.66
22,105.69
23,104.84
24,104.24
25,103.93
26,103.89
27,104.03
28,104.22
29,104.30
30,104.14
31,103.68
32,102.90
33,101.87
34,100.71
35,99.60
36,98.68
37,98.08
38,97.87
39,98.04
40,98.49
41,99.10
42,99.72
43,100.20
44,100.44
45,100.42
46,100.19
47,99.84
48,99.54
49,99.42
50,99.61
51,100.19
52,101.13
53,102.37
54,103.76
55,105.14
56,106.36
57,107.31
58,107.92
59,108.23
60,108.32
61,108.33
62,108.42
63,108.70
64,109.26
65,110.10
66,111.16
67,112.31
68,113.39
69,114.26
70,114.78
71,114.89
72,114.63
73,114.06
74,113.33
75,112.61
76,112.02
77,111.68
78,111.61
79,111.78
80,112.07
81,112.34
82,112.45
83,112.27
84,111.75
85,110.89
86,109.77
87,108.54
88,107.35
89,106.36
90,105.69
91,105.39
92,105.43
93,105.71
94,106.10
95,106.45
96,106.63
97,106.55
98,106.21
99,105.68
100,105.06
101,104.53
102,104.22
103,104.26
104,104.70
105,105.51
106,106.61
107,107.86
108,109.09
109,110.14
110,110.94
111,111.43
112,111.65
113,111.73
114,111.78
115,111.97
116,112.40
117,113.15
118,114.20
119,115.46
120,116.80
